Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_sequence_quality_scores	per_tile_sequence_quality
SRR1178021_1	pass	0.0	warn	100.0	Sanger / Illumina 1.9	fail	pass	100.0	Conventional base calls	pass	pass	17497925.0	pass	fail	pass	49.0	51.2938677125	SRR1178021_1.fastq.gz	pass	
SRR1178021_2	pass	0.0	warn	100.0	Sanger / Illumina 1.9	fail	pass	100.0	Conventional base calls	pass	pass	17497925.0	pass	fail	pass	49.0	53.5601001369	SRR1178021_2.fastq.gz	pass	
SRR1178047_1	pass	0.0	warn	100.0	Sanger / Illumina 1.9	fail	pass	100.0	Conventional base calls	pass	pass	17093302.0	pass	fail	pass	49.0	51.5098795465	SRR1178047_1.fastq.gz	pass	
SRR1178047_2	pass	0.0	warn	100.0	Sanger / Illumina 1.9	fail	pass	100.0	Conventional base calls	pass	warn	17093302.0	pass	fail	pass	49.0	52.7081361477	SRR1178047_2.fastq.gz	pass	
SRR1178050_1	pass	0.0	fail	100.0	Sanger / Illumina 1.9	fail	pass	100.0	Conventional base calls	pass	warn	16086619.0	pass	fail	pass	48.0	45.3816419107	SRR1178050_1.fastq.gz	pass	
SRR1178050_2	pass	0.0	fail	100.0	Sanger / Illumina 1.9	fail	pass	100.0	Conventional base calls	pass	warn	16086619.0	pass	fail	pass	49.0	46.8829055172	SRR1178050_2.fastq.gz	pass	
SRR1178061_1	pass	0.0	fail	101.0	Sanger / Illumina 1.9	pass	pass	101.0	Conventional base calls	pass	warn	63267355.0	pass	fail	warn	49.0	30.9116392371	SRR1178061_1.fastq.gz	pass	
SRR1178061_2	pass	0.0	fail	101.0	Sanger / Illumina 1.9	pass	pass	101.0	Conventional base calls	pass	warn	63267355.0	pass	fail	pass	49.0	31.4079525637	SRR1178061_2.fastq.gz	pass	
SRR1178063_1	pass	0.0	fail	101.0	Sanger / Illumina 1.9	pass	pass	101.0	Conventional base calls	pass	warn	44533567.0	pass	fail	fail	49.0	35.2036753837	SRR1178063_1.fastq.gz	pass	
SRR1178063_2	pass	0.0	fail	101.0	Sanger / Illumina 1.9	pass	pass	101.0	Conventional base calls	pass	warn	44533567.0	pass	fail	warn	49.0	37.6916339969	SRR1178063_2.fastq.gz	pass	
